"Jahr","Grossregion","Schweizer/innen und Ausländer/innen","Berufliche Stellung","Geschlecht","Zentralwert","P10","P25","P75","P90"
"2024","Région lémanique","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Geschlecht - Total",6599,4509,5293,8972,13333
"2024","Région lémanique","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Frauen",6253,4283,4940,8662,12215
"2024","Région lémanique","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Männer",6735,4736,5581,9175,14138
"2024","Région lémanique","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Geschlecht - Total",12375,5979,8086,19121,29878
"2024","Région lémanique","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Frauen",12713,6535,9057,17913,25246
"2024","Région lémanique","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Männer",12063,5724,7736,19913,31439
"2024","Région lémanique","> Niedergelassene (Kat. C)","Unteres Kader","Geschlecht - Total",10129,6032,7803,13106,17538
"2024","Région lémanique","> Niedergelassene (Kat. C)","Unteres Kader","Frauen",9845,5081,7461,12491,16307
"2024","Région lémanique","> Niedergelassene (Kat. C)","Unteres Kader","Männer",10319,6423,7975,13564,18817
"2024","Région lémanique","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7115,5039,5999,9553,12834
"2024","Région lémanique","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Frauen",7120,4685,5647,9721,12872
"2024","Région lémanique","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Männer",7110,5414,6125,9432,12834
"2024","Région lémanique","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Geschlecht - Total",6039,4359,5028,7389,9369
"2024","Région lémanique","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Frauen",5746,4201,4743,7383,9323
"2024","Région lémanique","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Männer",6211,4580,5262,7392,9431
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Geschlecht - Total",6565,4571,5338,8587,11245
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Frauen",6644,4432,5199,8678,10840
